stim_id,condition,domain,maj_decision,avg_decision,mwe_decision,n_raters,TP
52,50_50,human,0,0,1,12,True
52,80_20,human,1,1,1,12,True
52,100_0,human,1,1,1,12,True
53,50_50,human,1,1,1,12,False
53,80_20,human,1,1,1,12,False
53,100_0,human,1,1,1,12,False
54,50_50,human,1,1,1,12,True
54,80_20,human,1,1,1,12,True
54,100_0,human,0,0,1,12,True
55,50_50,human,0,0,0,12,True
55,80_20,human,1,1,1,12,True
55,100_0,human,1,1,1,12,True
56,50_50,human,1,1,1,12,True
56,80_20,human,1,1,1,12,True
56,100_0,human,1,1,1,12,True
57,50_50,human,1,1,1,12,True
57,80_20,human,1,1,1,12,True
57,100_0,human,1,1,1,12,True
58,50_50,human,1,1,1,12,True
58,80_20,human,1,1,1,12,True
58,100_0,human,1,1,1,12,True
59,50_50,human,1,1,1,12,False
59,80_20,human,1,1,1,12,False
59,100_0,human,0,0,1,12,False
60,50_50,human,1,1,1,12,False
60,80_20,human,1,1,1,12,False
60,100_0,human,1,1,1,12,False
61,50_50,human,0,0,0,12,False
61,80_20,human,0,0,0,12,False
61,100_0,human,1,1,1,12,False
62,50_50,human,1,1,1,12,True
62,80_20,human,1,1,1,12,True
62,100_0,human,1,1,1,12,True
63,50_50,human,0,0,1,12,False
63,80_20,human,0,0,0,12,False
63,100_0,human,1,1,1,12,False
64,50_50,human,0,0,1,12,True
64,80_20,human,1,1,1,12,True
64,100_0,human,1,1,1,12,True
65,50_50,human,0,0,1,12,False
65,80_20,human,0,0,1,12,False
65,100_0,human,0,0,0,12,False
66,50_50,human,1,1,1,12,True
66,80_20,human,1,1,1,12,True
66,100_0,human,1,1,1,12,True
67,50_50,human,0,0,1,12,False
67,80_20,human,0,0,0,12,False
67,100_0,human,0,0,0,12,False
68,50_50,human,0,0,1,12,False
68,80_20,human,0,0,0,12,False
68,100_0,human,0,0,1,12,False
69,50_50,human,1,1,1,12,False
69,80_20,human,1,1,1,12,False
69,100_0,human,1,1,1,12,False
70,50_50,human,0,0,1,12,True
70,80_20,human,0,0,0,12,True
70,100_0,human,0,0,1,12,True
71,50_50,human,1,1,1,12,False
71,80_20,human,1,1,1,12,False
71,100_0,human,1,1,1,12,False
72,50_50,human,1,1,1,12,True
72,80_20,human,1,1,1,12,True
72,100_0,human,1,1,1,12,True
73,50_50,human,1,1,1,12,True
73,80_20,human,1,1,1,12,True
73,100_0,human,1,1,1,12,True
74,50_50,human,0,0,1,12,False
74,80_20,human,0,0,0,12,False
74,100_0,human,0,0,1,12,False
75,50_50,human,1,1,1,12,True
75,80_20,human,1,1,1,12,True
75,100_0,human,1,1,1,12,True
76,50_50,human,1,1,1,12,False
76,80_20,human,1,1,1,12,False
76,100_0,human,1,1,1,12,False
77,50_50,human,1,1,1,12,True
77,80_20,human,1,1,1,12,True
77,100_0,human,1,1,1,12,True
78,50_50,human,1,1,1,12,True
78,80_20,human,1,1,1,12,True
78,100_0,human,1,1,1,12,True
79,50_50,human,1,1,1,12,False
79,80_20,human,1,1,1,12,False
79,100_0,human,1,1,1,12,False
80,50_50,human,1,1,1,12,True
80,80_20,human,1,1,1,12,True
80,100_0,human,1,1,1,12,True
81,50_50,human,0,0,0,12,False
81,80_20,human,0,0,0,12,False
81,100_0,human,0,0,0,12,False
82,50_50,human,1,1,1,12,True
82,80_20,human,1,1,1,12,True
82,100_0,human,1,1,1,12,True
83,50_50,human,1,1,1,12,True
83,80_20,human,1,1,1,12,True
83,100_0,human,1,1,1,12,True
84,50_50,human,1,1,1,12,True
84,80_20,human,1,1,1,12,True
84,100_0,human,1,1,1,12,True
85,50_50,human,1,1,1,12,True
85,80_20,human,1,1,1,12,True
85,100_0,human,1,1,1,12,True
86,50_50,human,0,0,1,12,False
86,80_20,human,0,0,1,12,False
86,100_0,human,0,0,1,12,False
87,50_50,human,1,1,1,12,False
87,80_20,human,1,1,1,12,False
87,100_0,human,0,0,0,12,False
88,50_50,human,0,0,0,12,False
88,80_20,human,0,0,1,12,False
88,100_0,human,0,0,0,12,False
89,50_50,human,1,1,1,12,False
89,80_20,human,1,1,1,12,False
89,100_0,human,1,1,1,12,False
90,50_50,human,1,1,1,12,True
90,80_20,human,1,1,1,12,True
90,100_0,human,1,1,1,12,True
91,50_50,human,1,1,1,12,False
91,80_20,human,0,0,0,12,False
91,100_0,human,0,0,1,12,False
92,50_50,human,1,1,1,12,False
92,80_20,human,1,1,1,12,False
92,100_0,human,1,1,1,12,False
93,50_50,human,0,0,1,12,False
93,80_20,human,0,0,0,12,False
93,100_0,human,0,0,0,12,False
94,50_50,human,1,1,1,12,False
94,80_20,human,0,0,0,12,False
94,100_0,human,0,0,0,12,False
95,50_50,human,1,1,1,12,True
95,80_20,human,1,1,1,12,True
95,100_0,human,1,1,1,12,True
96,50_50,human,0,0,0,12,False
96,80_20,human,0,0,0,12,False
96,100_0,human,0,0,1,12,False
97,50_50,human,1,1,1,12,True
97,80_20,human,1,1,1,12,True
97,100_0,human,1,1,1,12,True
98,50_50,human,1,1,1,12,True
98,80_20,human,1,1,1,12,True
98,100_0,human,1,1,1,12,True
99,50_50,human,1,1,1,12,False
99,80_20,human,0,0,0,12,False
99,100_0,human,0,0,0,12,False
100,50_50,human,1,1,1,12,True
100,80_20,human,1,1,1,12,True
100,100_0,human,1,1,1,12,True
101,50_50,human,1,1,1,12,True
101,80_20,human,1,1,1,12,True
101,100_0,human,1,1,1,12,True
102,50_50,human,1,1,1,12,False
102,80_20,human,1,1,1,12,False
102,100_0,human,1,1,1,12,False
103,50_50,human,1,1,1,12,True
103,80_20,human,1,1,1,12,True
103,100_0,human,1,1,1,12,True
104,50_50,human,1,1,1,12,True
104,80_20,human,1,1,1,12,True
104,100_0,human,1,1,1,12,True
105,50_50,human,0,0,0,12,False
105,80_20,human,0,0,1,12,False
105,100_0,human,0,0,0,12,False
106,50_50,human,0,0,1,12,False
106,80_20,human,0,0,1,12,False
106,100_0,human,0,0,1,12,False
107,50_50,human,1,1,1,12,True
107,80_20,human,1,1,1,12,True
107,100_0,human,1,1,1,12,True
108,50_50,human,1,1,1,12,True
108,80_20,human,0,0,0,12,True
108,100_0,human,0,0,1,12,True
109,50_50,human,0,0,0,12,False
109,80_20,human,0,0,1,12,False
109,100_0,human,0,0,0,12,False
110,50_50,human,1,1,1,12,False
110,80_20,human,1,1,1,12,False
110,100_0,human,0,0,0,12,False
111,50_50,human,1,1,1,12,True
111,80_20,human,1,1,1,12,True
111,100_0,human,1,1,1,12,True
112,50_50,human,1,1,1,12,False
112,80_20,human,1,1,1,12,False
112,100_0,human,1,1,1,12,False
113,50_50,human,0,0,0,12,False
113,80_20,human,0,0,0,12,False
113,100_0,human,0,0,1,12,False
114,50_50,human,0,0,1,12,False
114,80_20,human,0,0,0,12,False
114,100_0,human,0,0,1,12,False
115,50_50,human,0,0,1,12,True
115,80_20,human,1,1,1,12,True
115,100_0,human,1,1,1,12,True
116,50_50,human,1,1,1,12,False
116,80_20,human,0,0,0,12,False
116,100_0,human,0,0,0,12,False
117,50_50,human,1,1,1,12,False
117,80_20,human,1,1,1,12,False
117,100_0,human,0,0,0,12,False
118,50_50,human,1,1,1,12,False
118,80_20,human,1,1,1,12,False
118,100_0,human,1,1,1,12,False
119,50_50,human,1,1,1,12,True
119,80_20,human,1,1,1,12,True
119,100_0,human,1,1,1,12,True
120,50_50,human,1,1,1,12,False
120,80_20,human,1,1,1,12,False
120,100_0,human,0,0,1,12,False
121,50_50,human,1,1,1,12,False
121,80_20,human,1,1,1,12,False
121,100_0,human,1,1,1,12,False
122,50_50,human,1,1,1,12,True
122,80_20,human,1,1,1,12,True
122,100_0,human,1,1,1,12,True
123,50_50,human,0,0,1,12,False
123,80_20,human,1,1,1,12,False
123,100_0,human,0,0,0,12,False
124,50_50,human,1,1,1,12,False
124,80_20,human,1,1,1,12,False
124,100_0,human,0,0,1,12,False
125,50_50,human,0,0,0,12,False
125,80_20,human,0,0,0,12,False
125,100_0,human,0,0,0,12,False
126,50_50,human,0,0,1,12,False
126,80_20,human,0,0,0,12,False
126,100_0,human,0,0,0,12,False
127,50_50,human,0,0,1,12,False
127,80_20,human,0,0,1,12,False
127,100_0,human,1,1,1,12,False
128,50_50,human,1,1,1,12,False
128,80_20,human,0,0,0,12,False
128,100_0,human,0,0,0,12,False
129,50_50,human,0,0,1,12,False
129,80_20,human,1,1,1,12,False
129,100_0,human,0,0,0,12,False
130,50_50,human,1,1,1,12,False
130,80_20,human,1,1,1,12,False
130,100_0,human,0,0,0,12,False
131,50_50,human,1,1,1,12,False
131,80_20,human,1,1,1,12,False
131,100_0,human,0,0,1,12,False
132,50_50,human,1,1,1,12,True
132,80_20,human,1,1,1,12,True
132,100_0,human,1,1,1,12,True
133,50_50,human,0,0,0,12,True
133,80_20,human,1,1,1,12,True
133,100_0,human,1,1,1,12,True
134,50_50,human,0,0,0,12,False
134,80_20,human,0,0,0,12,False
134,100_0,human,0,0,0,12,False
135,50_50,human,0,0,0,12,True
135,80_20,human,1,1,1,12,True
135,100_0,human,1,1,1,12,True
136,50_50,human,0,0,1,12,False
136,80_20,human,1,1,1,12,False
136,100_0,human,1,1,1,12,False
137,50_50,human,1,1,1,12,True
137,80_20,human,0,0,0,12,True
137,100_0,human,1,1,1,12,True
138,50_50,human,1,1,1,12,False
138,80_20,human,1,1,1,12,False
138,100_0,human,1,1,1,12,False
139,50_50,human,1,1,1,12,True
139,80_20,human,1,1,1,12,True
139,100_0,human,1,1,1,12,True
140,50_50,human,1,1,1,12,False
140,80_20,human,1,1,1,12,False
140,100_0,human,0,0,1,12,False
141,50_50,human,0,0,1,12,False
141,80_20,human,0,0,0,12,False
141,100_0,human,1,1,1,12,False
142,50_50,human,0,0,1,12,False
142,80_20,human,0,0,1,12,False
142,100_0,human,0,0,1,12,False
143,50_50,human,1,1,1,12,True
143,80_20,human,1,1,1,12,True
143,100_0,human,1,1,1,12,True
144,50_50,human,1,1,1,12,False
144,80_20,human,1,1,1,12,False
144,100_0,human,0,0,1,12,False
145,50_50,human,1,1,1,12,False
145,80_20,human,1,1,1,12,False
145,100_0,human,1,1,1,12,False
146,50_50,human,0,0,0,12,False
146,80_20,human,0,0,0,12,False
146,100_0,human,0,0,0,12,False
147,50_50,human,1,1,1,12,True
147,80_20,human,1,1,1,12,True
147,100_0,human,1,1,1,12,True
148,50_50,human,1,1,1,12,False
148,80_20,human,1,1,1,12,False
148,100_0,human,1,1,1,12,False
149,50_50,human,1,1,1,12,True
149,80_20,human,1,1,1,12,True
149,100_0,human,1,1,1,12,True
150,50_50,human,1,1,1,12,False
150,80_20,human,0,0,1,12,False
150,100_0,human,1,1,1,12,False
151,50_50,human,1,1,1,12,False
151,80_20,human,1,1,1,12,False
151,100_0,human,1,1,1,12,False
152,50_50,human,1,1,1,12,True
152,80_20,human,1,1,1,12,True
152,100_0,human,1,1,1,12,True
153,50_50,human,1,1,1,12,True
153,80_20,human,1,1,1,12,True
153,100_0,human,1,1,1,12,True
154,50_50,human,1,1,1,12,True
154,80_20,human,1,1,1,12,True
154,100_0,human,1,1,1,12,True
155,50_50,human,0,0,1,12,False
155,80_20,human,0,0,1,12,False
155,100_0,human,0,0,0,12,False
156,50_50,human,1,1,1,12,False
156,80_20,human,1,1,1,12,False
156,100_0,human,1,1,1,12,False
157,50_50,human,1,1,1,12,True
157,80_20,human,1,1,1,12,True
157,100_0,human,1,1,1,12,True
158,50_50,human,1,1,1,12,False
158,80_20,human,1,1,1,12,False
158,100_0,human,1,1,1,12,False
159,50_50,human,1,1,1,12,True
159,80_20,human,0,0,1,12,True
159,100_0,human,1,1,1,12,True
160,50_50,human,1,1,1,12,True
160,80_20,human,1,1,1,12,True
160,100_0,human,1,1,1,12,True
161,50_50,human,1,1,1,12,True
161,80_20,human,1,1,1,12,True
161,100_0,human,1,1,1,12,True
162,50_50,human,0,0,1,12,True
162,80_20,human,1,1,1,12,True
162,100_0,human,1,1,1,12,True
163,50_50,human,1,1,1,12,True
163,80_20,human,1,1,1,12,True
163,100_0,human,1,1,1,12,True
164,50_50,human,1,1,1,12,True
164,80_20,human,1,1,1,12,True
164,100_0,human,1,1,1,12,True
165,50_50,human,1,1,1,12,True
165,80_20,human,1,1,1,12,True
165,100_0,human,1,1,1,12,True
166,50_50,human,0,0,1,12,False
166,80_20,human,0,0,0,12,False
166,100_0,human,0,0,0,12,False
167,50_50,human,1,1,1,12,False
167,80_20,human,1,1,1,12,False
167,100_0,human,0,0,1,12,False
168,50_50,human,1,1,1,12,False
168,80_20,human,1,1,1,12,False
168,100_0,human,0,0,1,12,False
169,50_50,human,0,0,1,12,True
169,80_20,human,1,1,1,12,True
169,100_0,human,1,1,1,12,True
170,50_50,human,1,1,1,12,True
170,80_20,human,1,1,1,12,True
170,100_0,human,1,1,1,12,True
171,50_50,human,1,1,1,12,True
171,80_20,human,1,1,1,12,True
171,100_0,human,1,1,1,12,True
172,50_50,human,1,1,1,12,True
172,80_20,human,1,1,1,12,True
172,100_0,human,1,1,1,12,True
173,50_50,human,0,0,0,12,False
173,80_20,human,0,0,0,12,False
173,100_0,human,0,0,0,12,False
174,50_50,human,1,1,1,12,True
174,80_20,human,1,1,1,12,True
174,100_0,human,0,0,1,12,True
175,50_50,human,1,1,1,12,True
175,80_20,human,1,1,1,12,True
175,100_0,human,1,1,1,12,True
176,50_50,human,0,0,0,12,True
176,80_20,human,1,1,1,12,True
176,100_0,human,1,1,1,12,True
177,50_50,human,0,0,1,12,False
177,80_20,human,1,1,1,12,False
177,100_0,human,1,1,1,12,False
178,50_50,human,1,1,1,12,False
178,80_20,human,1,1,1,12,False
178,100_0,human,0,0,0,12,False
179,50_50,human,1,1,1,12,True
179,80_20,human,1,1,1,12,True
179,100_0,human,1,1,1,12,True
180,50_50,human,1,1,1,12,True
180,80_20,human,1,1,1,12,True
180,100_0,human,1,1,1,12,True
181,50_50,human,1,1,1,12,True
181,80_20,human,1,1,1,12,True
181,100_0,human,1,1,1,12,True
182,50_50,human,1,1,1,12,True
182,80_20,human,1,1,1,12,True
182,100_0,human,1,1,1,12,True
183,50_50,human,1,1,1,12,False
183,80_20,human,1,1,1,12,False
183,100_0,human,1,1,1,12,False
184,50_50,human,0,0,1,12,False
184,80_20,human,0,0,0,12,False
184,100_0,human,0,0,0,12,False
185,50_50,human,1,1,1,12,True
185,80_20,human,0,0,1,12,True
185,100_0,human,1,1,1,12,True
186,50_50,human,1,1,1,12,True
186,80_20,human,1,1,1,12,True
186,100_0,human,1,1,1,12,True
187,50_50,human,0,0,1,12,False
187,80_20,human,1,1,1,12,False
187,100_0,human,1,1,1,12,False
188,50_50,human,1,1,1,12,False
188,80_20,human,1,1,1,12,False
188,100_0,human,1,1,1,12,False
189,50_50,human,1,1,1,12,True
189,80_20,human,1,1,1,12,True
189,100_0,human,1,1,1,12,True
190,50_50,human,1,1,1,12,True
190,80_20,human,1,1,1,12,True
190,100_0,human,1,1,1,12,True
191,50_50,human,0,0,0,12,False
191,80_20,human,1,1,1,12,False
191,100_0,human,0,0,1,12,False
192,50_50,human,1,1,1,12,False
192,80_20,human,1,1,1,12,False
192,100_0,human,1,1,1,12,False
193,50_50,human,1,1,1,12,False
193,80_20,human,1,1,1,12,False
193,100_0,human,0,0,1,12,False
194,50_50,human,1,1,1,12,False
194,80_20,human,1,1,1,12,False
194,100_0,human,1,1,1,12,False
195,50_50,human,1,1,1,12,False
195,80_20,human,1,1,1,12,False
195,100_0,human,0,0,1,12,False
196,50_50,human,1,1,1,12,True
196,80_20,human,1,1,1,12,True
196,100_0,human,1,1,1,12,True
197,50_50,human,0,0,1,12,True
197,80_20,human,1,1,1,12,True
197,100_0,human,1,1,1,12,True
198,50_50,human,1,1,1,12,True
198,80_20,human,1,1,1,12,True
198,100_0,human,1,1,1,12,True
199,50_50,human,1,1,1,12,False
199,80_20,human,1,1,1,12,False
199,100_0,human,1,1,1,12,False
200,50_50,human,1,1,1,12,True
200,80_20,human,1,1,1,12,True
200,100_0,human,1,1,1,12,True
201,50_50,human,0,0,0,12,False
201,80_20,human,0,0,0,12,False
201,100_0,human,0,0,0,12,False
202,50_50,human,0,0,1,12,False
202,80_20,human,0,0,1,12,False
202,100_0,human,1,1,1,12,False
203,50_50,human,0,0,1,12,False
203,80_20,human,0,0,0,12,False
203,100_0,human,0,0,1,12,False
204,50_50,human,0,0,1,12,True
204,80_20,human,1,1,1,12,True
204,100_0,human,1,1,1,12,True
205,50_50,human,0,0,1,12,False
205,80_20,human,0,0,1,12,False
205,100_0,human,1,1,1,12,False
206,50_50,human,1,1,1,12,True
206,80_20,human,1,1,1,12,True
206,100_0,human,1,1,1,12,True
207,50_50,human,1,1,1,12,True
207,80_20,human,1,1,1,12,True
207,100_0,human,1,1,1,12,True
208,50_50,human,1,1,1,12,False
208,80_20,human,0,0,1,12,False
208,100_0,human,1,1,1,12,False
209,50_50,human,1,1,1,12,False
209,80_20,human,1,1,1,12,False
209,100_0,human,0,0,0,12,False
210,50_50,human,1,1,1,12,True
210,80_20,human,1,1,1,12,True
210,100_0,human,1,1,1,12,True
211,50_50,human,0,0,1,12,True
211,80_20,human,1,1,1,12,True
211,100_0,human,1,1,1,12,True
212,50_50,human,1,1,1,12,False
212,80_20,human,1,1,1,12,False
212,100_0,human,0,0,1,12,False
213,50_50,human,1,1,1,12,True
213,80_20,human,1,1,1,12,True
213,100_0,human,1,1,1,12,True
214,50_50,human,1,1,1,12,False
214,80_20,human,1,1,1,12,False
