domain,participantID,condition,n_trials,accuracy,hit_rate,fa_rate,dprime,criterion
Model,claude-sonnet-4-20250514,80_20,1000,0.757,0.7574850299401198,0.24451097804391217,1.3901007305728754,-0.003185116638930785
Model,claude-sonnet-4-20250514,100_0,1000,0.766,0.9411177644710579,0.4101796407185629,1.7913090364221333,-0.6685716193365765
Model,gemini-2.5-flash,50_50,1000,0.77,0.8173652694610778,0.27844311377245506,1.4928426696217878,-0.15894855637322552
Model,gemini-2.5-flash,80_20,1000,0.794,0.7375249500998003,0.1506986027944112,1.6691753323127236,0.19885410808639853
Model,gemini-2.5-flash,100_0,1000,0.831,0.875249500998004,0.21457085828343314,1.9422234697646958,-0.18045052319117044
Model,gemini-2.5-pro-decision,50_50,1000,0.823,0.9211576846307385,0.27644710578842313,2.0063305066975587,-0.40973644137967036
Model,gemini-2.5-pro-decision,80_20,1000,0.822,0.9051896207584831,0.2624750499001996,1.9474353898362116,-0.3379841368481421
Model,gemini-2.5-pro-decision,100_0,1000,0.89,0.9271457085828343,0.14870259481037923,2.4968719769618044,-0.20642199153142282
Model,gpt-4.1-2025-04-14,50_50,1000,0.671,0.4720558882235529,0.13073852295409183,1.0528040009332198,0.5965048779395721
Model,gpt-4.1-2025-04-14,80_20,1000,0.698,0.5678642714570858,0.17265469061876249,1.114665940034253,0.3863936224444668
Model,gpt-4.1-2025-04-14,100_0,1000,0.684,0.4740518962075848,0.10678642714570859,1.1787127070382246,0.6544445323323015
Model,gpt-5-2025-08-07,50_50,1000,0.764,0.935129740518962,0.40818363273453095,1.7473457634212786,-0.6414530374042894
Model,gpt-5-2025-08-07,80_20,1000,0.746,0.935129740518962,0.4441117764471058,1.6556783206708365,-0.6872867587795104
Model,gpt-5-2025-08-07,100_0,1000,0.839,0.9331337325349301,0.2564870259481038,2.153757939397396,-0.4226651385407151
Model,gpt-5-mini-2025-08-07,50_50,1000,0.69,0.8572854291417166,0.4780439121756487,1.123266142240071,-0.5065695078123311
Model,gpt-5-mini-2025-08-07,80_20,1000,0.671,0.909181636726547,0.5678642714570858,1.164793140289825,-0.7533359177175722
Model,gpt-5-mini-2025-08-07,100_0,1000,0.787,0.8373253493013972,0.26447105788423153,1.61314633610961,-0.17695145771895654
Model,o3-2025-04-16,50_50,1000,0.77,0.8812375249500998,0.34231536926147704,1.5873480453387991,-0.3875217755095125
Model,o3-2025-04-16,80_20,1000,0.763,0.9131736526946108,0.38822355289421157,1.6445123468079221,-0.538304095382395
Model,o3-2025-04-16,100_0,1000,0.836,0.937125748502994,0.26646706586826346,2.154617820672058,-0.45377561832822383
Model,o4-mini-2025-04-16,50_50,1000,0.709,0.7095808383233533,0.29241516966067865,1.0985033770704828,-0.0029089151880350994
Model,o4-mini-2025-04-16,80_20,1000,0.736,0.6936127744510978,0.22255489021956087,1.2697101637812354,0.12873798791050295
Model,o4-mini-2025-04-16,100_0,1000,0.772,0.7035928143712575,0.16067864271457086,1.526434654033971,0.2284552235233036
Model,gemini-2.5-pro-angle,50_50,1000,0.865,0.9151696606786427,0.18662674650698602,2.2636905490551547,-0.24144965378120054
Model,gemini-2.5-pro-angle,80_20,1000,0.845,0.9431137724550899,0.25449101796407186,2.2418855313151074,-0.46051917250981333
Model,gemini-2.5-pro-angle,100_0,1000,0.871,0.969061876247505,0.22854291417165667,2.6108354853313376,-0.5617637478009528
